"","datetime","fog_total_solids_pct","fog_VS_pct","fog_total_volatile_acids_mgl","fog_chemical_oxygen_demand_mgl","food_total_solids_pct","PS_total_solids_avg_pct","food_VS_pct","food_total_volatile_acids_mgl","food_chemical_oxygen_demand_mgl","PS_volatile_acids_mgl","PS_soluble_chemical_oxygen_demand_mgl","TWAS_total_solids_pct","TWAS_total_volatile_acids_mgl","TWAS_soluble_chemical_oxygen_demand_mgl","PD1_start_time_feed_hrs","PD1_total_hours_of_feed_hrs","PD2_stop_time_feed_hrs","PD1_alkalinity_mgl","PD1_sCOD_mgl","PD1_VS_pct","PD2_COD_mgl","PD2_TS_pct","fog_soluble_chemical_oxygen_demand_mgl","food_soluble_chemical_oxygen_demand_mgl","PS_VS_avg_pct","PS_chemical_oxygen_demand_mgl","PS_total_alkalinity_mgl","comments_digester_1_ac","comments_digester_2_ac","TWAS_VS_pct","TWAS_chemical_oxygen_demand_mgl","TWAS_total_alkalinity_mgl","PD1_stop_time_feed_hrs","PD2_start_time_feed_hrs","PD2_total_hours_of_feed_hrs","PD1_volatile_acids_mgl","PD1_ph_su","PD1_temperature_degf","PD1_gas_generation_cfday","PD1_gas_generation_cfhr","PD1_COD_mgl","PD1_TS_pct","PD2_alkalinity_mgl","PD2_sCOD_mgl","PD2_VS_pct","PD2_volatile_acids_mgl","PD2_ph_su","PD2_temperature_degf","PD2_gas_generation_cfday","PD2_gas_generation_cfhr","fog_feed_volume_gal","fog_loading_rate_lb1000ft3xd","food_feed_volume_gal","food_loading_rate_lb1000ft3xd","PS_feed_volume_gal","PS_loading_rate_lb1000ft3xd","TWAS_feed_volume_gal","TWAS_loading_rate_lb1000ft3xd","PD_target_organic_loading_rate_pct","PD_organic_loading_rate_pct","PD_organic_loading_rate_7dayavg_pct","PD1_volatile_solids_reduction_pct","PD1_va_alk_ratio_mgl","PD1_methane_pct","PD1_co2_pct","PD2_volatile_solids_reduction_pct","PD2_va_alk_ratio_mgl","PD2_methane_pct","PD2_co2_pct","daily_ccr_AD2_Influent","daily_ccr_AD2","daily_ccr_AD1"
"11",2019-10-31,7.78,96.9,NA,NA,NA,22.7,88.5,NA,NA,NA,4.3,80.9,NA,NA,NA,NA,6.9,84.9,NA,NA,NA,NA,8.15,NA,NA,8.15,NA,NA,NA,NA,NA,NA,NA,2.4,72.7,NA,7.6,100.17,NA,8.28,NA,NA,NA,2.4,72.4,NA,7.4,100.04,NA,8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5798611111111,461.528472222222,120.272916666667
"12",2019-11-01,2.76,87,1270,82100,5300,22.6,91.3,3760,NA,11570,4.5,82.2,1010,75700,3300,760,7.5,86.7,710,122400,3700,1300,8.3,13.15,4.85,8.3,13.15,NA,NA,4.85,6000,31800,1400,2.4,72.4,NA,7.5,100.12,0,70.67,5940,33100,1200,2.4,72.1,NA,7.5,100.13,0,46.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1006944444444,389.250694444444,112.111111111111
"13",2019-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,13.3,5.15,8.15,13.3,NA,NA,5.15,NA,NA,NA,NA,NA,NA,7.5,100.14,0,80.8,NA,NA,NA,NA,NA,NA,7.5,100.15,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4486111111111,365.571527777778,108.605555555556
"14",2019-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,15,5.7,9.3,15,NA,NA,5.7,NA,NA,NA,NA,NA,NA,7.5,100.13,0,81.18,NA,NA,NA,NA,NA,NA,7.5,100.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7263440860215,258.306451612903,101.582795698925
"15",2019-11-04,3.5,96.6,3000,82000,NA,19.3,91.6,10000,250000,NA,4.3,84.6,2000,67000,NA,820,7,86.9,500,66000,NA,2000,8.3,13.3,5,8.3,13.3,NA,NA,5,6880,30000,NA,2.4,72.5,82,7.5,100.12,0,77.5,6600,33000,NA,2.4,72.8,43,7.5,100.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2715277777778,235.81875,107.469444444444
"16",2019-11-05,1.54,93.5,3000,42000,NA,21.2,91.1,10000,220000,NA,3.8,85.4,1000,7000,NA,800,7.6,86.9,600,32000,NA,1200,9.2,NA,NA,9.2,NA,NA,NA,NA,6800,30000,NA,2.4,72.7,120,7.5,100.09,0,118.62,6500,31000,NA,2.4,72.7,89,7.4,100.06,0,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3305555555556,224.065277777778,105.25
"17",2019-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,100.01,0,NA,NA,NA,NA,NA,NA,NA,7.5,99.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.88125,243.323611111111,102.680555555556
"18",2019-11-07,1.49,NA,1000,74000,3000,24,NA,10000,240000,83800,4.1,NA,1000,66000,1900,1020,7.8,NA,500,47000,NA,1560,9.4,13.1,3.7,9.4,13.1,NA,NA,3.7,7000,27000,1000,2.4,NA,150,7.5,97.81,30.4,1.81,7200,34000,3600,2.4,NA,97,7.4,97.49,10.02,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7480862908838,238.933194154489,104.2832289492
"19",2019-11-08,7.28,96.5,NA,147700,8720,19.4,91.6,NA,157600,86800,2.4,82.7,NA,39100,2120,500,7.6,86.7,NA,112700,5720,1660,9.45,12.38,2.93,9.45,12.51,"Maintenance reset gas counter","Maintenance reset gas counter",3.06,6400,31600,1080,2.4,72.8,49,7.6,100.01,7.52,2.54,6020,32500,1560,2.4,72.5,51,7.6,99.79,21.13,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.0520833333333,309.634027777778,109.682638888889
"20",2019-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,14.35,4.85,9.5,14.35,NA,NA,4.85,NA,NA,NA,NA,NA,NA,7.6,99.99,63.36,2.6,NA,NA,NA,NA,NA,NA,7.5,99.94,50.38,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9590277777778,227.140277777778,104.725694444444
"21",2019-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,16.15,6.75,9.4,16.15,NA,NA,6.75,NA,NA,NA,NA,NA,NA,7.6,100.07,57.91,2.37,NA,NA,NA,NA,NA,NA,7.5,99.9,49.68,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7034722222222,238.588888888889,107.665972222222
"22",2019-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,14,5.5,8.5,14,NA,NA,5.5,NA,NA,NA,NA,NA,NA,7.6,100.15,61.84,2.54,NA,NA,NA,NA,NA,NA,7.5,100.2,51.29,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4590277777778,303.045138888889,109.646527777778
"23",2019-11-12,8.99,97.3,3000,120400,NA,22.4,92.9,10000,408000,NA,3.7,85,2000,66600,NA,820,7.2,86.4,800,65600,NA,1600,8.15,11.45,3.3,8.15,13,NA,NA,4.85,7000,31000,NA,2.3,72.4,100,7.6,100.15,51.88,2.13,6820,32200,NA,2.4,71.4,72,7.6,100.17,44.67,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2972222222222,195.915277777778,106.418055555556
"24",2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45,13.4,3.95,9.45,13.4,NA,NA,3.95,NA,NA,NA,NA,NA,NA,7.6,100.2,54.99,2.25,NA,NA,NA,NA,NA,NA,7.6,98.58,42.35,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8020833333333,246.703472222222,110.23125
"25",2019-11-14,0.98,95.1,1000,123600,2100,23.6,90.4,10000,177200,139000,3,82.9,1000,40200,1300,740,6.4,86.1,500,94200,1500,1900,8.3,13.15,4.85,8.3,13.15,NA,NA,4.85,7000,31100,1000,2.3,73,100,7.6,100.06,60.42,2.48,7300,34200,1400,2.3,72.7,86,7.5,100.07,57.89,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6972222222222,319.434027777778,111.861111111111
"26",2019-11-15,1.39,94,1000,60000,NA,25,91.4,10000,169400,NA,2.3,81.1,1000,40900,NA,NA,6.1,85.6,2000,84900,NA,NA,8.45,13.4,4.95,8.45,13.4,NA,NA,4.95,NA,29400,NA,2.3,72.8,76,7.6,99.48,55.04,2.26,NA,32300,NA,2.3,72.6,51,7.5,100,59.61,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3840277777778,237.447916666667,103.978472222222
"27",2019-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,13.4,5.2,8.2,13.4,NA,NA,5.2,NA,NA,NA,NA,NA,NA,7.6,100.09,58.11,2.38,NA,NA,NA,NA,NA,NA,7.5,100.21,53.49,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7736111111111,245.55,107.159722222222
"28",2019-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,13.5,5.4,8.1,13.5,NA,NA,5.4,NA,NA,NA,NA,NA,NA,7.6,100.19,61.92,2.54,NA,NA,NA,NA,NA,NA,7.6,100,43.16,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7694444444444,211.4375,122.489583333333
"29",2019-11-18,1.75,95,2000,61900,NA,24,90.5,8000,257000,NA,4.2,84.9,2000,84200,NA,860,5.6,85.3,2000,48800,NA,1820,8.3,13.3,5,8.3,13.3,NA,NA,5,7040,34800,NA,2.4,70.4,69,7.7,100.07,61.74,2.53,6700,28800,NA,2.3,72.7,76,7.6,100.26,48.38,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.65625,278.321527777778,132.682638888889
"30",2019-11-19,0.31,70.6,1000,9200,NA,26.5,90.3,10000,290500,NA,4.5,85.8,1000,109600,NA,840,7.6,86.6,400,24400,NA,1020,8.15,13,4.85,8.15,13,NA,NA,4.85,7320,21600,NA,2.3,72.4,80,7.6,100.12,65.31,2.71,6300,18200,NA,2.3,71.6,55,7.5,99.99,56.78,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8611111111111,302.270138888889,130.447916666667
"31",2019-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,13.55,5.1,8.45,13.55,NA,NA,5.1,NA,NA,NA,NA,NA,NA,7.7,100.08,34.7,1.42,NA,NA,NA,NA,NA,NA,7.5,100.06,51.4,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.99375,235.784027777778,128.299305555556
"32",2019-11-21,0.39,NA,1000,113,2200,25.7,NA,10000,574,99000,3.2,NA,1000,274,2200,1820,6.8,NA,600,274,4800,740,NA,NA,NA,NA,NA,NA,NA,NA,7080,166,1000,2.2,NA,78,7.6,100.11,43.93,1.8,6660,155,NA,2.3,NA,42,7.5,99.97,45.68,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8694444444444,234.271527777778,131.360416666667
"33",2019-11-22,NA,NA,1000,45300,NA,NA,NA,9000,333500,NA,NA,NA,2000,48000,NA,760,NA,NA,2000,106200,NA,1340,8.18,12.55,4.37,8.18,12.55,NA,NA,4.37,7420,29600,NA,NA,NA,94,7.7,100.04,46.42,1.9,7000,28200,NA,NA,NA,42,7.6,99.72,39.71,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.23125,254.370138888889,131.814583333333
"34",2019-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22,13.25,5.03,8.22,13.25,NA,NA,5.03,NA,NA,NA,NA,NA,NA,7.7,100.03,50.64,2.08,NA,NA,NA,NA,NA,NA,7.6,100.12,37.96,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0631944444444,288.064583333333,128.122222222222
"35",2019-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,12.49,5.04,7.45,12.49,NA,NA,5.04,NA,NA,NA,NA,NA,NA,7.7,100.14,52.2,2.14,NA,NA,NA,NA,NA,NA,7.6,99.94,41.46,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6590277777778,283.445138888889,129.220833333333
"36",2019-11-25,0.91,90.8,NA,32500,NA,24.7,92.6,NA,267000,NA,3.6,85.8,NA,54200,NA,800,7.2,87.2,NA,45400,NA,1420,9,14.15,5.15,9,14.15,NA,NA,5.15,7100,26800,NA,2.2,72.7,55,7.7,100.1,52.18,2.14,6940,16600,NA,2.2,72.8,42,7.6,100.12,43.96,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7375,261.7875,130.463888888889
"37",2019-11-26,4.29,92.9,2000,69600,NA,23.2,90.3,10000,271500,NA,4,85.8,1000,62600,NA,800,7.7,87,600,59000,NA,1400,9.25,14.4,5.15,9.25,14.45,NA,NA,5.2,7080,30000,NA,2.2,72.5,69,7.7,99.78,57.21,2.34,7240,32000,NA,2.3,72.8,100,7.5,99.16,46,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1680555555556,299.79375,132.625
"38",2019-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14.15,5.15,9,14.1,NA,NA,5.1,NA,NA,NA,NA,NA,NA,7.7,99.89,66.65,2.74,NA,NA,NA,NA,NA,NA,7.5,99.2,50.21,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0256944444444,368.802777777778,142.363194444444
"39",2019-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,14.08,6.03,8.05,14.08,NA,NA,6.03,NA,NA,NA,NA,NA,NA,7.7,99.94,71.32,2.93,NA,NA,NA,NA,NA,NA,7.6,99.46,62.07,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7423611111111,391.365972222222,141.1875
"40",2019-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12.4,4.4,8,12.4,NA,NA,4.4,NA,NA,NA,NA,NA,NA,7.7,99.93,78.3,3.21,NA,NA,NA,NA,NA,NA,7.6,99.87,63.94,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0381944444444,477.297222222222,137.759722222222
"41",2019-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46,13.5,5.04,8.46,13.5,NA,NA,5.04,NA,NA,NA,NA,NA,NA,7.7,99.8,75.52,3.09,NA,NA,NA,NA,NA,NA,7.6,99.51,58.38,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4756944444444,381.816666666667,136.711111111111
"42",2019-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12.21,5.21,7,12.28,NA,NA,5.28,NA,NA,NA,NA,NA,NA,7.7,99.94,81.92,3.36,NA,NA,NA,NA,NA,NA,7.5,99.97,65.18,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5548611111111,401.861805555556,140.396527777778
"43",2019-12-02,1,90.1,2000,31700,NA,24,89.8,10000,289500,NA,8.2,81.9,2000,132200,NA,1200,7.3,86.9,2000,75000,NA,1760,9.5,14.5,5,9.5,14.5,NA,NA,5,6680,34000,NA,2.3,72.7,60,7.7,99.8,74.26,3.04,6740,32000,NA,2.3,72.5,59,7.5,99.76,60.62,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5895833333333,306.245138888889,135.735416666667
"44",2019-12-03,1.93,93.9,2000,60600,NA,26.3,91.3,10000,181500,NA,4.3,78.3,1000,38200,NA,860,7.2,82.7,1000,63800,NA,1600,8.5,13.33,4.83,8.5,13,NA,NA,4.5,7020,31600,NA,2.3,72.7,76,7.7,99.96,77.25,3.17,6840,30000,NA,2.3,73,69,7.5,99.45,57.78,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3833333333333,217.05625,122.464583333333
"45",2019-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,13,5.5,7.5,13,NA,NA,5.5,NA,NA,NA,NA,NA,NA,7.7,99.55,76.88,3.15,NA,NA,NA,NA,NA,NA,7.5,99.8,59.86,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4631944444444,245.918055555556,102.350694444444
"46",2019-12-05,1.58,92.8,2000,55600,NA,24.4,89.2,9000,237000,NA,7.7,72.9,1000,116200,NA,1440,4.6,80.2,500,73400,NA,1200,8.75,13.33,4.58,8.75,13.33,NA,NA,4.58,7000,36800,NA,2.3,72.3,61,7.7,100.06,70.38,2.89,6740,28600,NA,2.3,72.1,41,7.6,99.9,52.8,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7513888888889,216.057638888889,98.7611111111111
"47",2019-12-06,1.86,92.9,3000,NA,NA,21.9,93.9,7000,NA,NA,6.6,81.8,2000,NA,NA,1180,8.5,80.2,900,NA,NA,1580,9.5,13.75,4.25,9.5,13.5,NA,NA,4,6800,NA,NA,2.3,71.4,NA,7.6,99.97,69.72,2.85,6600,NA,NA,2.3,70.9,NA,7.6,99.07,52.61,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6291666666667,224.713888888889,90.8423611111111
